target,n_train,budget_k,cut_M,is_full,hits,ceiling,hits_full_headft,hits_stage1_only,n_active_total,gpu_hours
588689,40,100,500,False,24,73,30,23,396,0.027777777777777776
588689,40,100,1000,False,28,130,30,23,396,0.05555555555555555
588689,40,100,2500,False,27,202,30,23,396,0.1388888888888889
588689,40,100,5000,False,29,266,30,23,396,0.2777777777777778
588689,40,100,10000,False,29,339,30,23,396,0.5555555555555556
588689,40,100,25000,False,30,389,30,23,396,1.3888888888888888
588689,40,100,49685,True,30,396,30,23,396,2.7602777777777776
588689,40,500,500,False,73,73,107,73,396,0.027777777777777776
588689,40,500,1000,False,98,130,107,73,396,0.05555555555555555
588689,40,500,2500,False,97,202,107,73,396,0.1388888888888889
588689,40,500,5000,False,102,266,107,73,396,0.2777777777777778
588689,40,500,10000,False,105,339,107,73,396,0.5555555555555556
588689,40,500,25000,False,107,389,107,73,396,1.3888888888888888
588689,40,500,49685,True,107,396,107,73,396,2.7602777777777776
588689,100,100,500,False,34,73,42,23,396,0.027777777777777776
588689,100,100,1000,False,37,130,42,23,396,0.05555555555555555
588689,100,100,2500,False,39,202,42,23,396,0.1388888888888889
588689,100,100,5000,False,40,266,42,23,396,0.2777777777777778
588689,100,100,10000,False,42,339,42,23,396,0.5555555555555556
588689,100,100,25000,False,42,389,42,23,396,1.3888888888888888
588689,100,100,49685,True,42,396,42,23,396,2.7602777777777776
588689,100,500,500,False,73,73,123,73,396,0.027777777777777776
588689,100,500,1000,False,109,130,123,73,396,0.05555555555555555
588689,100,500,2500,False,122,202,123,73,396,0.1388888888888889
588689,100,500,5000,False,119,266,123,73,396,0.2777777777777778
588689,100,500,10000,False,123,339,123,73,396,0.5555555555555556
588689,100,500,25000,False,123,389,123,73,396,1.3888888888888888
588689,100,500,49685,True,123,396,123,73,396,2.7602777777777776
588689,300,100,500,False,40,73,47,23,396,0.027777777777777776
588689,300,100,1000,False,44,130,47,23,396,0.05555555555555555
588689,300,100,2500,False,47,202,47,23,396,0.1388888888888889
588689,300,100,5000,False,49,266,47,23,396,0.2777777777777778
588689,300,100,10000,False,47,339,47,23,396,0.5555555555555556
588689,300,100,25000,False,47,389,47,23,396,1.3888888888888888
588689,300,100,49685,True,47,396,47,23,396,2.7602777777777776
588689,300,500,500,False,73,73,127,73,396,0.027777777777777776
588689,300,500,1000,False,105,130,127,73,396,0.05555555555555555
588689,300,500,2500,False,117,202,127,73,396,0.1388888888888889
588689,300,500,5000,False,128,266,127,73,396,0.2777777777777778
588689,300,500,10000,False,126,339,127,73,396,0.5555555555555556
588689,300,500,25000,False,127,389,127,73,396,1.3888888888888888
588689,300,500,49685,True,127,396,127,73,396,2.7602777777777776
540297-493091,40,100,500,False,18,53,26,12,739,0.027777777777777776
540297-493091,40,100,1000,False,20,96,26,12,739,0.05555555555555555
540297-493091,40,100,2500,False,26,195,26,12,739,0.1388888888888889
540297-493091,40,100,5000,False,26,306,26,12,739,0.2777777777777778
540297-493091,40,100,10000,False,26,434,26,12,739,0.5555555555555556
540297-493091,40,100,25000,False,26,618,26,12,739,1.3888888888888888
540297-493091,40,100,49685,True,26,739,26,12,739,2.7602777777777776
540297-493091,40,500,500,False,53,53,81,53,739,0.027777777777777776
540297-493091,40,500,1000,False,56,96,81,53,739,0.05555555555555555
540297-493091,40,500,2500,False,72,195,81,53,739,0.1388888888888889
540297-493091,40,500,5000,False,82,306,81,53,739,0.2777777777777778
540297-493091,40,500,10000,False,81,434,81,53,739,0.5555555555555556
540297-493091,40,500,25000,False,81,618,81,53,739,1.3888888888888888
540297-493091,40,500,49685,True,81,739,81,53,739,2.7602777777777776
540297-493091,100,100,500,False,17,53,26,12,739,0.027777777777777776
540297-493091,100,100,1000,False,20,96,26,12,739,0.05555555555555555
540297-493091,100,100,2500,False,22,195,26,12,739,0.1388888888888889
540297-493091,100,100,5000,False,25,306,26,12,739,0.2777777777777778
540297-493091,100,100,10000,False,25,434,26,12,739,0.5555555555555556
540297-493091,100,100,25000,False,26,618,26,12,739,1.3888888888888888
540297-493091,100,100,49685,True,26,739,26,12,739,2.7602777777777776
540297-493091,100,500,500,False,53,53,90,53,739,0.027777777777777776
540297-493091,100,500,1000,False,65,96,90,53,739,0.05555555555555555
540297-493091,100,500,2500,False,84,195,90,53,739,0.1388888888888889
540297-493091,100,500,5000,False,87,306,90,53,739,0.2777777777777778
540297-493091,100,500,10000,False,89,434,90,53,739,0.5555555555555556
540297-493091,100,500,25000,False,90,618,90,53,739,1.3888888888888888
540297-493091,100,500,49685,True,90,739,90,53,739,2.7602777777777776
540297-493091,300,100,500,False,26,53,25,12,739,0.027777777777777776
540297-493091,300,100,1000,False,28,96,25,12,739,0.05555555555555555
540297-493091,300,100,2500,False,27,195,25,12,739,0.1388888888888889
540297-493091,300,100,5000,False,25,306,25,12,739,0.2777777777777778
540297-493091,300,100,10000,False,25,434,25,12,739,0.5555555555555556
540297-493091,300,100,25000,False,25,618,25,12,739,1.3888888888888888
540297-493091,300,100,49685,True,25,739,25,12,739,2.7602777777777776
540297-493091,300,500,500,False,53,53,103,53,739,0.027777777777777776
540297-493091,300,500,1000,False,75,96,103,53,739,0.05555555555555555
540297-493091,300,500,2500,False,96,195,103,53,739,0.1388888888888889
540297-493091,300,500,5000,False,104,306,103,53,739,0.2777777777777778
540297-493091,300,500,10000,False,102,434,103,53,739,0.5555555555555556
