N,predictor,outcome,n_targets,rho,p_exact,loo_min,loo_max,p_holm
40,n_train_active,ap_ratio,8,-0.16766767666785623,0.6921626984126984,-0.41443123283995714,0.18018749253911182,1.0
40,active_pair_diversity,ap_ratio,6,-0.2571428571428571,0.6583333333333333,-0.7,0.3,1.0
40,inactive_pair_diversity,ap_ratio,8,0.2857142857142857,0.5007936507936508,0.10714285714285716,0.5,1.0
40,active_scaffold_fraction,ap_ratio,7,0.2594372608313854,0.5904761904761905,-0.09107651110783746,0.7589709258986453,1.0
40,inactive_scaffold_fraction,ap_ratio,8,0.7319250547113998,0.05089285714285714,0.630061919161936,0.8894991799933215,1.0
40,n_train_active_scaffolds,ap_ratio,8,-0.07142857142857142,0.8819940476190476,-0.42857142857142866,0.14285714285714288,1.0
40,n_train_active,ef1_ratio,8,-0.27545404024004955,0.5070436507936508,-0.48650622985560193,0.01801874925391118,1.0
40,active_pair_diversity,ef1_ratio,6,-0.42857142857142855,0.41944444444444445,-0.7999999999999999,-0.19999999999999998,1.0
40,inactive_pair_diversity,ef1_ratio,8,-0.023809523809523808,0.9767857142857143,-0.14285714285714288,0.3214285714285715,1.0
40,active_scaffold_fraction,ef1_ratio,7,0.3335621924974955,0.4714285714285714,0.030358837035945815,0.6375355777548621,1.0
40,inactive_scaffold_fraction,ef1_ratio,8,0.9271050693011064,0.0026785714285714286,0.8894991799933215,0.9265616458263765,0.09642857142857143
40,n_train_active_scaffolds,ef1_ratio,8,-0.19047619047619047,0.6645833333333333,-0.39285714285714296,0.03571428571428572,1.0
100,n_train_active,ap_ratio,8,-0.14285714285714285,0.7520337301587302,-0.42857142857142866,0.03571428571428572,1.0
100,active_pair_diversity,ap_ratio,8,-0.19047619047619047,0.6645833333333333,-0.5714285714285715,0.14285714285714288,1.0
100,inactive_pair_diversity,ap_ratio,8,0.2857142857142857,0.5007936507936508,-0.07142857142857144,0.5,1.0
100,active_scaffold_fraction,ap_ratio,8,0.04879500364742665,0.9276785714285715,-0.18531232916527532,0.41443123283995714,1.0
100,inactive_scaffold_fraction,ap_ratio,8,0.3333333333333333,0.4278769841269841,0.0,0.5714285714285715,1.0
100,n_train_active_scaffolds,ap_ratio,8,-0.14285714285714285,0.7520337301587302,-0.42857142857142866,0.03571428571428572,1.0
100,n_train_active,ef1_ratio,8,-0.2619047619047619,0.5364087301587301,-0.4642857142857144,0.10714285714285716,1.0
100,active_pair_diversity,ef1_ratio,8,-0.6190476190476191,0.11498015873015872,-0.8214285714285715,-0.42857142857142866,1.0
100,inactive_pair_diversity,ef1_ratio,8,-0.21428571428571427,0.6190972222222222,-0.6071428571428572,0.03571428571428572,1.0
100,active_scaffold_fraction,ef1_ratio,8,0.1951800145897066,0.6523809523809524,-0.11118739749916519,0.4504687313477795,1.0
100,inactive_scaffold_fraction,ef1_ratio,8,0.2619047619047619,0.5364087301587301,0.14285714285714288,0.8928571428571429,1.0
100,n_train_active_scaffolds,ef1_ratio,8,-0.2619047619047619,0.5364087301587301,-0.4642857142857144,0.10714285714285716,1.0
300,n_train_active,ap_ratio,8,0.4523809523809524,0.26746031746031745,0.1785714285714286,0.6785714285714287,1.0
300,active_pair_diversity,ap_ratio,8,-0.47619047619047616,0.24305555555555555,-0.7142857142857144,-0.3214285714285715,1.0
300,inactive_pair_diversity,ap_ratio,8,0.3333333333333333,0.4278769841269841,0.0,0.6071428571428572,1.0
300,active_scaffold_fraction,ap_ratio,8,-0.44312171690790575,0.27271825396825394,-0.7748062179181807,-0.21428571428571433,1.0
300,inactive_scaffold_fraction,ap_ratio,8,0.7619047619047619,0.03675595238095238,0.642857142857143,0.8571428571428573,1.0
300,n_train_active_scaffolds,ap_ratio,8,0.3333333333333333,0.4278769841269841,0.14285714285714288,0.5,1.0
300,n_train_active,ef1_ratio,8,0.2619047619047619,0.5364087301587301,-0.07142857142857144,0.42857142857142866,1.0
300,active_pair_diversity,ef1_ratio,8,-0.16666666666666666,0.7033234126984127,-0.7500000000000002,0.0,1.0
300,inactive_pair_diversity,ef1_ratio,8,-0.4523809523809524,0.26746031746031745,-0.9285714285714288,-0.1785714285714286,1.0
300,active_scaffold_fraction,ef1_ratio,8,0.22754898976351917,0.5859126984126984,0.0,0.6071428571428572,1.0
300,inactive_scaffold_fraction,ef1_ratio,8,0.6666666666666666,0.08308531746031746,0.5,0.8571428571428573,1.0
300,n_train_active_scaffolds,ef1_ratio,8,0.2619047619047619,0.5364087301587301,-0.10714285714285716,0.42857142857142866,1.0
