target,head,weight_relative_l2,weight_delta_rms,ap_ratio,log2_ap_ratio,g_raw_cka,g_raw_cka_change,g_raw_relative_l2_median,after_mlp_cka,after_mlp_cka_change,after_mlp_relative_l2_median
1053173-743445,1,0.0036169955994256,0.0002903026552973,2.1723726458373704,1.119271602308082,0.910062839259869,0.08993716074013103,0.279080787664691,0.8032091928473871,0.19679080715261288,0.5013184454107187
1053173-743445,2,0.0056681672488336,0.0004068823801235,2.1723726458373704,1.119271602308082,0.7897094674828183,0.21029053251718166,0.8615702967063255,0.648622010901045,0.351377989098955,1.0579224738677149
434954-2097,1,0.004757883378789,0.0003818711249404,3.5263724180480844,1.8181848448506368,0.9140249673963039,0.0859750326036961,0.22460658067072242,0.8176252575314358,0.18237474246856422,0.41206618063719835
434954-2097,2,0.0057017559074267,0.0004092935004651,3.5263724180480844,1.8181848448506368,0.8929074030874325,0.10709259691256745,0.33525811327805544,0.7997816466110347,0.20021835338896532,0.21286915721594352
463203-2650,1,0.0046699525861764,0.0003748137365981,1.64124234276894,0.7147882802270443,0.9261216571502962,0.07387834284970385,0.16375115775261445,0.8716165005755352,0.1283834994244648,0.18825327247039245
463203-2650,2,0.005649319415098,0.0004055294116746,1.64124234276894,0.7147882802270443,0.8513352348811501,0.14866476511884985,0.4073957089185703,0.7424972126753121,0.2575027873246879,0.3598195743920418
493248-485317,1,0.0044964615672293,0.0003608892232593,1.6713444945155813,0.7410091297517618,0.9237082642133517,0.07629173578664827,0.23757332692854022,0.8445832860935054,0.15541671390649459,0.37784073072223723
493248-485317,2,0.0054535211053608,0.0003914742720161,1.6713444945155813,0.7410091297517618,0.8970345023670252,0.1029654976329748,0.5867053536081109,0.7884254709271521,0.2115745290728479,0.7344788037541994
504329,1,0.0046028930152565,0.0003694314874451,4.763762739267263,2.252101561101601,0.8937046408496475,0.10629535915035249,0.35885368006553553,0.6417067362159241,0.3582932637840759,0.5661513764823248
504329,2,0.0054602452495476,0.0003919569563955,4.763762739267263,2.252101561101601,0.866674414091545,0.133325585908455,0.5645831573176276,0.7655171608678604,0.23448283913213963,0.6707908251632908
540297-493091,1,0.0044596464556032,0.0003579344160536,1.5995695415829239,0.6776837152519076,0.9231013240595803,0.07689867594041966,0.3179736833827038,0.8135713122686873,0.18642868773131271,0.5263476392135478
540297-493091,2,0.0054254914734523,0.0003894621995341,1.5995695415829239,0.6776837152519076,0.8390887276860427,0.1609112723139573,0.48001082132215817,0.7546840877994107,0.24531591220058935,0.5928367651495484
588689,1,0.004609018636181,0.0003699231341643,2.4635557084752757,1.3007420957346514,0.9172018620045894,0.08279813799541058,0.19197406145474005,0.8149539923072555,0.18504600769274449,0.24945078763375927
588689,2,0.0059210361614553,0.000425034262471,2.4635557084752757,1.3007420957346514,0.8151764099020175,0.18482359009798255,0.5250137191424719,0.7148413335952317,0.2851586664047683,0.5955437711166488
624273-588549,1,0.0038562376749745,0.0003095043954934,1.100891050192589,0.13867169948871613,0.9363977110381523,0.06360228896184772,0.19582659514579742,0.8681041441659465,0.1318958558340535,0.16226735478280907
624273-588549,2,0.0048324292556706,0.0003468899612534,1.100891050192589,0.13867169948871613,0.890951676587251,0.10904832341274895,0.4768716159308274,0.8276242054386403,0.17237579456135965,0.4297296249538579
