target,N,model,k,hits,unseen_hits,seen_hits,acyclic_hits,generic_unseen_hits,low_similarity_active_hits,unique_active_scaffolds,unique_unseen_scaffolds,unseen_active_available,unseen_active_scaffolds_available,boundary_ties,hits_tie_min,hits_tie_max
588689,40,base,100,23,23,0,0,23,18.0,23,23,393,275,1,23,23
588689,40,base,500,73,73,0,0,72,60.0,60,60,393,275,1,73,73
588689,40,headft,100,30,30,0,0,29,19.0,20,20,393,275,1,30,30
588689,40,headft,500,107,106,1,0,104,88.0,80,79,393,275,1,107,107
588689,40,nearest_active,100,11,10,1,0,9,0.0,9,8,393,275,6,11,11
588689,40,nearest_active,500,23,21,2,0,19,0.0,19,17,393,275,8,23,23
588689,100,base,100,23,21,2,0,21,15.0,23,21,379,269,1,23,23
588689,100,base,500,73,67,6,0,64,51.0,60,55,379,269,1,73,73
588689,100,headft,100,42,35,7,0,34,16.0,33,27,379,269,1,42,42
588689,100,headft,500,123,113,10,0,109,77.0,80,74,379,269,1,123,123
588689,100,nearest_active,100,23,10,13,0,9,0.0,15,9,379,269,2,23,23
588689,100,nearest_active,500,33,20,13,0,19,0.0,24,18,379,269,11,33,33
588689,300,base,100,23,19,4,0,18,7.0,23,19,318,253,1,23,23
588689,300,base,500,73,49,24,0,44,26.0,60,46,318,253,1,73,73
588689,300,headft,100,47,16,31,0,16,4.0,20,10,318,253,1,47,47
588689,300,headft,500,127,70,57,0,62,29.0,74,56,318,253,1,127,127
588689,300,nearest_active,100,50,5,45,0,5,0.0,20,5,318,253,2,50,50
588689,300,nearest_active,500,99,30,69,0,27,0.0,47,27,318,253,1,99,99
540297-493091,40,base,100,12,11,1,0,11,8.0,12,11,734,581,1,12,12
540297-493091,40,base,500,53,52,1,0,52,46.0,46,45,734,581,1,53,53
540297-493091,40,headft,100,26,25,1,0,25,22.0,22,21,734,581,1,26,26
540297-493091,40,headft,500,81,78,3,0,78,70.0,67,65,734,581,1,81,81
540297-493091,40,nearest_active,100,8,7,1,0,7,0.0,8,7,734,581,1,8,8
540297-493091,40,nearest_active,500,27,26,1,0,26,0.0,25,24,734,581,11,27,27
540297-493091,100,base,100,12,10,2,0,10,7.0,12,10,732,579,1,12,12
540297-493091,100,base,500,53,51,2,0,50,42.0,46,44,732,579,1,53,53
