target,head,layer,n,n_active,signed_rank_rho,absolute_rank_rho,adjusted_signed_rank_rho,initial_rank_rho,absolute_feature_change_signed_rho,inactive_signed_rank_rho,inactive_adjusted_signed_rank_rho
1053173-743445,1,g_raw,512,1,-0.5468726471206955,0.06712674629535789,-0.5086902272973985,-0.44539976153282745,-0.5789539151542915,-0.5450516199956259,-0.5077312326593354
1053173-743445,1,after_mlp,512,1,-0.5728791796216975,0.060004469918874634,-0.5899348657558556,-0.32599630139847335,-0.6181804819488116,-0.5711357230919489,-0.589229942777749
1053173-743445,2,g_raw,512,1,-0.618375926346434,0.09131245405721192,-0.6963057468490513,-0.24305251570707592,-0.6585132407879715,-0.616840831761098,-0.695541073018053
1053173-743445,2,after_mlp,512,1,-0.6427241766128065,0.09604911966537047,-0.7347099896367142,-0.3061672803584303,-0.6786116482938769,-0.6414805170307186,-0.7341829976278103
434954-2097,1,g_raw,512,4,-0.4395406564710335,0.09887444667481204,-0.4768946286659013,-0.2912157856112885,-0.4956291330630238,-0.4393545605436342,-0.4754528740611306
434954-2097,1,after_mlp,512,4,-0.5376071672485845,0.06965286844860712,-0.5638428445629046,-0.12888278058159094,-0.5060861687654911,-0.5373577464993791,-0.5640861989147058
434954-2097,2,g_raw,512,4,-0.5369060350277838,0.13629338049153003,-0.6677993280814865,-0.5593127188690906,-0.6901203679603134,-0.5385588359332177,-0.6667687447904564
434954-2097,2,after_mlp,512,4,-0.6286230613000148,0.17610825188959475,-0.6386744194276245,-0.5481731941154255,-0.6633658526390832,-0.6280365890387432,-0.635844940420065
463203-2650,1,g_raw,512,8,-0.5931578637266227,0.02939024580779735,-0.5883501891456102,-0.44803700890353737,-0.5613358329234777,-0.5935529766758249,-0.5874111827538405
463203-2650,1,after_mlp,512,8,-0.7626038611264798,0.00602591994498964,-0.764969844943555,-0.0773490339719161,-0.6934090357000758,-0.7647597924719322,-0.7664410144439393
463203-2650,2,g_raw,512,8,-0.6689179577902723,0.005490727666367594,-0.6246538944536624,-0.3747695973667044,-0.5060162183083494,-0.6682849783228972,-0.6237651181404478
463203-2650,2,after_mlp,512,8,-0.6851258054816904,0.07300399085264885,-0.6022339587516411,-0.07309691180004807,-0.5371084618928605,-0.6854019387120907,-0.6010627976411785
493248-485317,1,g_raw,512,4,-0.5601328324437683,-0.09466062612929914,-0.46616687006292784,-0.5045361691900985,-0.554885561993131,-0.5612966308857124,-0.47195760976219825
493248-485317,1,after_mlp,512,4,-0.6318571664542877,-0.11016626945229577,-0.6867245970660569,-0.5806047116936176,-0.7486769841214856,-0.6310732231505656,-0.684180709071223
493248-485317,2,g_raw,512,4,-0.44247173667222006,-0.08559235456547157,-0.347101274626723,-0.5050637617159337,-0.41167118583376944,-0.4403695526998472,-0.3465983946467178
493248-485317,2,after_mlp,512,4,-0.45524696870095915,-0.07586081479662608,-0.39673773436472476,-0.5029008201153569,-0.4427352647249936,-0.4545235774474219,-0.39730966945599305
504329,1,g_raw,512,4,-0.5395548007591581,-0.0038359314950414418,-0.2885018715028,-0.4410696761881874,-0.3476167028058477,-0.5364247045893809,-0.2856790414440781
504329,1,after_mlp,512,4,-0.49952155912047397,0.012485687006264911,-0.4228926547394732,-0.17633329542463463,-0.37470398915310527,-0.49780352562707575,-0.41982102913628705
504329,2,g_raw,512,4,-0.5195784802858,0.05221981825817224,-0.3072646422753545,-0.4465941537634039,-0.3042789669074483,-0.5182485433308198,-0.3091395849101779
504329,2,after_mlp,512,4,-0.5276751617769441,0.05735452513226271,-0.4765633590036331,-0.401778829922981,-0.40829784794364343,-0.527928015010802,-0.47930625708240154
540297-493091,1,g_raw,512,7,-0.5487585034180885,0.14637816294055916,-0.5040454179641128,-0.35921344099403757,-0.5731540943141709,-0.54806462460513,-0.5012956049900026
540297-493091,1,after_mlp,512,7,-0.5761604153220202,0.17623024031079698,-0.5605091551267282,-0.24865066490426982,-0.5133688524758739,-0.5758394854242734,-0.559495976295968
540297-493091,2,g_raw,512,7,-0.6589238291687283,0.05363992416113216,-0.6221462770599171,-0.2839453621210561,-0.6086546103284965,-0.6615156697206088,-0.6213170814740675
540297-493091,2,after_mlp,512,7,-0.6713405831341888,0.041285038953877744,-0.6898293681493165,-0.32339481695105343,-0.690164846527427,-0.6739199547830548,-0.6907144858375752
588689,1,g_raw,512,4,-0.7103286132600309,0.05639939811876926,-0.6898248348837615,-0.2630694709090077,-0.6660098059715902,-0.7104557276938165,-0.6883356798500638
588689,1,after_mlp,512,4,-0.791867241749474,0.045828321959120476,-0.7857578752545819,-0.38297432722788705,-0.8110870443984567,-0.7934811549488998,-0.7872788921178877
588689,2,g_raw,512,4,-0.6833080217478923,0.04294292376601128,-0.6881787859389663,-0.22687631965186944,-0.650507112743647,-0.6837960549866822,-0.6875770593767194
