N,stratum,metric,model,reference,n_targets,targets,estimate,low,high,scale,wins,status,n_zero_model,n_zero_reference
40,all,ap,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.016180269535990863,-0.01241115277712428,0.04477169184910601,mean_difference,6,defined,,
40,all,ap,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,1.2388846400029923,0.8748631581009276,1.7543716831864564,geometric_ratio,6,defined,0.0,0.0
40,all,ap,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.016821266286815125,-0.05543912818665686,0.021796595613026614,mean_difference,3,defined,,
40,all,ap,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.6338239920584509,0.28429318608552917,1.4130934984423105,geometric_ratio,3,defined,0.0,0.0
40,all,ap,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.016180269535990863,-0.04477169184910601,0.01241115277712428,mean_difference,2,defined,,
40,all,ap,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.8071776561840212,0.570004640170494,1.1430359030899278,geometric_ratio,2,defined,0.0,0.0
40,all,ap,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.034628078486459705,-0.09472115229707453,0.025464995324155124,mean_difference,3,defined,,
40,all,ap,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.5102624987658573,0.21253410668098988,1.2250636931303656,geometric_ratio,3,defined,0.0,0.0
40,all,ef1,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,2.29742249773139,-2.656205177084456,7.251050172547236,mean_difference,6,defined,,
40,all,ef1,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,1.2410654345447087,0.767968761982222,2.005606854172153,geometric_ratio,6,defined,0.0,0.0
40,all,ef1,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-2.5316435469725147,-9.432531842084414,4.369244748139385,mean_difference,3,defined,,
40,all,ef1,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.6969175456507939,0.2801584238662333,1.733640769152206,geometric_ratio,3,defined,0.0,0.0
40,all,ef1,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-2.29742249773139,-7.251050172547236,2.656205177084456,mean_difference,2,defined,,
40,all,ef1,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.8057592872746916,0.4986022050731206,1.3021362970791635,geometric_ratio,2,defined,0.0,0.0
40,all,ef1,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-5.050670175895994,-14.339571690092576,4.238231338300587,mean_difference,2,defined,,
40,all,ef1,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.5481175103765865,0.23914417525573314,1.2562831808893282,geometric_ratio,2,defined,0.0,0.0
40,canonical_not_in_training,ap,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.016180269535990863,-0.01241115277712428,0.04477169184910601,mean_difference,6,defined,,
40,canonical_not_in_training,ap,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,1.2388846400029923,0.8748631581009276,1.7543716831864564,geometric_ratio,6,defined,0.0,0.0
40,canonical_not_in_training,ap,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.016821266286815125,-0.05543912818665686,0.021796595613026614,mean_difference,3,defined,,
40,canonical_not_in_training,ap,nearest_active,base,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.6338239920584509,0.28429318608552917,1.4130934984423105,geometric_ratio,3,defined,0.0,0.0
40,canonical_not_in_training,ap,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.016180269535990863,-0.04477169184910601,0.01241115277712428,mean_difference,2,defined,,
40,canonical_not_in_training,ap,base,headft,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.8071776561840212,0.570004640170494,1.1430359030899278,geometric_ratio,2,defined,0.0,0.0
40,canonical_not_in_training,ap,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,-0.034628078486459705,-0.09472115229707453,0.025464995324155124,mean_difference,3,defined,,
40,canonical_not_in_training,ap,nearest_active,headft,7,434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,0.5102624987658573,0.21253410668098988,1.2250636931303656,geometric_ratio,3,defined,0.0,0.0
40,canonical_not_in_training,ef1,headft,base,8,1053173-743445;434954-2097;463203-2650;493248-485317;504329;540297-493091;588689;624273-588549,2.29742249773139,-2.656205177084456,7.251050172547236,mean_difference,6,defined,,
