target,N,stratum,model,n_eval,n_active,ap,ef1
588689,40,all,base,49685,396,0.09604197341995183,18.17633071154198
588689,40,all,headft,49685,396,0.16493089453690302,27.01204702965266
588689,40,all,nearest_active,49685,396,0.020464090311779044,5.80632786618702
588689,40,murcko_seen_any,base,26,2,,
588689,40,murcko_seen_any,headft,26,2,,
588689,40,murcko_seen_any,nearest_active,26,2,,
588689,40,murcko_unseen_any,base,49576,393,0.09669813676025756,18.56607567922515
588689,40,murcko_unseen_any,headft,49576,393,0.16539362195425517,26.958959205450217
588689,40,murcko_unseen_any,nearest_active,49576,393,0.019473292767729695,5.340925880325043
588689,40,murcko_unseen_active,base,49594,393,0.09637650175216357,18.572816629729953
588689,40,murcko_unseen_active,headft,49594,393,0.16521167931364444,26.96874743495034
588689,40,murcko_unseen_active,nearest_active,49594,393,0.01920037530887453,5.34286505786752
588689,40,generic_unseen_any,base,49031,387,0.09765731330962427,18.874982861361598
588689,40,generic_unseen_any,headft,49031,387,0.16126879673999658,26.890386542213783
588689,40,generic_unseen_any,nearest_active,49031,387,0.01776730872581922,5.171228181194958
588689,40,acyclic,base,83,1,,
588689,40,acyclic,headft,83,1,,
588689,40,acyclic,nearest_active,83,1,,
588689,40,canonical_not_in_training,base,49685,396,0.09604197341995183,18.17633071154198
588689,40,canonical_not_in_training,headft,49685,396,0.16493089453690302,27.01204702965266
588689,40,canonical_not_in_training,nearest_active,49685,396,0.020464090311779044,5.80632786618702
588689,40,similarity_any_lt03,base,47527,352,0.09154204790819442,18.76065789473684
588689,40,similarity_any_lt03,headft,47527,352,0.13522710321798315,25.86696770334928
588689,40,similarity_any_lt03,nearest_active,47527,352,0.01126324707690025,1.421261961722488
588689,40,similarity_active_lt03,base,48687,360,0.0839060045633647,17.217624914442162
588689,40,similarity_active_lt03,headft,48687,360,0.12998259778170274,25.27103011635866
588689,40,similarity_active_lt03,nearest_active,48687,360,0.011388845901798478,1.9439253935660508
588689,40,similarity_active_03_04,base,898,25,0.2819893072642835,11.973333333333333
588689,40,similarity_active_03_04,headft,898,25,0.5539393397288067,31.928888888888885
588689,40,similarity_active_03_04,nearest_active,898,25,0.02918338867449733,0.0
588689,40,similarity_active_04_055,base,91,9,,
588689,40,similarity_active_04_055,headft,91,9,,
588689,40,similarity_active_04_055,nearest_active,91,9,,
588689,40,similarity_active_ge055,base,9,2,,
588689,40,similarity_active_ge055,headft,9,2,,
588689,40,similarity_active_ge055,nearest_active,9,2,,
588689,100,all,base,49685,396,0.09604197341995183,18.17633071154198
588689,100,all,headft,49685,396,0.2020049025869162,30.798782594557238
588689,100,all,nearest_active,49685,396,0.04327328792871277,8.330818242790073
588689,100,murcko_seen_any,base,161,16,0.38149004815852494,5.03125
588689,100,murcko_seen_any,headft,161,16,0.597296866690249,5.03125
588689,100,murcko_seen_any,nearest_active,161,16,0.5135574641863905,10.0625
588689,100,murcko_unseen_any,base,49441,379,0.0902225028333447,17.956843600781944
588689,100,murcko_unseen_any,headft,49441,379,0.18898961609294315,30.368191383675345
588689,100,murcko_unseen_any,nearest_active,49441,379,0.022738232643173317,5.281424588465278
588689,100,murcko_unseen_active,base,49526,379,0.0896149155913008,17.951376562458357
588689,100,murcko_unseen_active,headft,49526,379,0.18821833507437988,30.358945657098694
588689,100,murcko_unseen_active,nearest_active,49526,379,0.02253543636658823,5.2798166360171646
588689,100,generic_unseen_any,base,47741,360,0.09243100504840025,18.90512462147682
588689,100,generic_unseen_any,headft,47741,360,0.19411077270020136,31.41586885627766
588689,100,generic_unseen_any,nearest_active,47741,360,0.021700397606555157,5.282314232471465
588689,100,acyclic,base,83,1,,
588689,100,acyclic,headft,83,1,,
588689,100,acyclic,nearest_active,83,1,,
588689,100,canonical_not_in_training,base,49685,396,0.09604197341995183,18.17633071154198
588689,100,canonical_not_in_training,headft,49685,396,0.2020049025869162,30.798782594557238
588689,100,canonical_not_in_training,nearest_active,49685,396,0.04327328792871277,8.330818242790073
588689,100,similarity_any_lt03,base,42866,288,0.08204046255770879,19.77598096348096
588689,100,similarity_any_lt03,headft,42866,288,0.14877721055626927,29.143550893550895
588689,100,similarity_any_lt03,nearest_active,42866,288,0.01089622713181661,2.0816822066822067
588689,100,similarity_active_lt03,base,47873,323,0.07270911704188411,17.018265607528583
588689,100,similarity_active_lt03,headft,47873,323,0.14131197598175246,28.46691701622963
588689,100,similarity_active_lt03,nearest_active,47873,323,0.01152221114792118,2.16596107732182
588689,100,similarity_active_03_04,base,1586,47,0.2568271328038466,8.436170212765958
588689,100,similarity_active_03_04,headft,1586,47,0.43555710351452165,18.981382978723406
588689,100,similarity_active_03_04,nearest_active,1586,47,0.029287524870123684,0.0
588689,100,similarity_active_04_055,base,195,16,0.4444743419008125,6.09375
588689,100,similarity_active_04_055,headft,195,16,0.511585536804243,6.09375
588689,100,similarity_active_04_055,nearest_active,195,16,0.39792561138935717,12.1875
588689,100,similarity_active_ge055,base,31,10,0.5292809042809042,0.0
588689,100,similarity_active_ge055,headft,31,10,0.5916773504273505,3.1
588689,100,similarity_active_ge055,nearest_active,31,10,0.47151040626510554,3.1
588689,300,all,base,49685,396,0.09604197341995183,18.17633071154198
588689,300,all,headft,49685,396,0.236604751871953,31.80857874519846
588689,300,all,nearest_active,49685,396,0.16570285462010112,24.99245472837022
588689,300,murcko_seen_any,base,1500,77,0.2687808118831529,3.896103896103896
588689,300,murcko_seen_any,headft,1500,77,0.6763898193701139,16.883116883116884
588689,300,murcko_seen_any,nearest_active,1500,77,0.6735928079947128,16.883116883116884
588689,300,murcko_unseen_any,base,48102,318,0.0791832817091141,16.66735966735967
588689,300,murcko_unseen_any,headft,48102,318,0.13728124235902386,26.416192680343624
588689,300,murcko_unseen_any,nearest_active,48102,318,0.033283260613323463,12.893617855882008
588689,300,murcko_unseen_active,base,49393,323,0.07528814032995705,16.096789962522404
588689,300,murcko_unseen_active,headft,49393,323,0.13069117423297733,24.45473859690904
588689,300,murcko_unseen_active,nearest_active,49393,323,0.03210603081841244,12.691699778142667
588689,300,generic_unseen_any,base,44348,284,0.08326786939736074,17.977204082281496
588689,300,generic_unseen_any,headft,44348,284,0.14255325639354796,26.084570629192765
588689,300,generic_unseen_any,nearest_active,44348,284,0.035009654152511366,13.042285314596382
588689,300,acyclic,base,83,1,,
588689,300,acyclic,headft,83,1,,
588689,300,acyclic,nearest_active,83,1,,
588689,300,canonical_not_in_training,base,49685,396,0.09604197341995183,18.17633071154198
588689,300,canonical_not_in_training,headft,49685,396,0.236604751871953,31.80857874519846
588689,300,canonical_not_in_training,nearest_active,49685,396,0.16570285462010112,24.99245472837022
588689,300,similarity_any_lt03,base,35830,171,0.06296865540356744,21.655558822568526
588689,300,similarity_any_lt03,headft,35830,171,0.06744053641397957,23.99670031690026
588689,300,similarity_any_lt03,nearest_active,35830,171,0.007089701396099648,2.341141494331733
588689,300,similarity_active_lt03,base,45338,220,0.04695086067000808,14.102729279550472
588689,300,similarity_active_lt03,headft,45338,220,0.0625248709150249,21.83648404575557
588689,300,similarity_active_lt03,nearest_active,45338,220,0.007308796741434957,2.274633754766205
588689,300,similarity_active_03_04,base,3760,67,0.19984759606161545,16.24509033778476
588689,300,similarity_active_03_04,headft,3760,67,0.23052151274360236,17.72191673212883
588689,300,similarity_active_03_04,nearest_active,3760,67,0.021193566514645323,1.476826394344069
588689,300,similarity_active_04_055,base,471,53,0.2973065715475586,1.7773584905660378
588689,300,similarity_active_04_055,headft,471,53,0.6010339567484864,8.88679245283019
588689,300,similarity_active_04_055,nearest_active,471,53,0.1940208711800378,3.5547169811320756
588689,300,similarity_active_ge055,base,116,56,0.6792839834704792,0.0
588689,300,similarity_active_ge055,headft,116,56,0.7502490511731151,2.071428571428571
588689,300,similarity_active_ge055,nearest_active,116,56,0.722319215541481,2.071428571428571
540297-493091,40,all,base,49685,739,0.059167923293326534,7.169689313145449
540297-493091,40,all,headft,49685,739,0.07935336040161028,10.957449704995875
540297-493091,40,all,nearest_active,49685,739,0.028301128501686104,3.652483234998625
540297-493091,40,murcko_seen_any,base,40,5,,
540297-493091,40,murcko_seen_any,headft,40,5,,
540297-493091,40,murcko_seen_any,nearest_active,40,5,,
540297-493091,40,murcko_unseen_any,base,49581,734,0.05842997632034381,7.081754856289004
540297-493091,40,murcko_unseen_any,headft,49581,734,0.07607465488282052,10.622632284433505
540297-493091,40,murcko_unseen_any,nearest_active,49581,734,0.027596617703626057,3.540877428144502
540297-493091,40,murcko_unseen_active,base,49618,738,0.05837449885897179,7.048627502404057
540297-493091,40,murcko_unseen_active,headft,49618,738,0.07711634873395602,10.844042311390856
540297-493091,40,murcko_unseen_active,nearest_active,49618,738,0.0278056946642211,3.5243137512020284
540297-493091,40,generic_unseen_any,base,47982,724,0.059475683381259595,7.179627071823205
540297-493091,40,generic_unseen_any,headft,47982,724,0.07700983475205823,10.631370856353593
540297-493091,40,generic_unseen_any,nearest_active,47982,724,0.02830090838654247,3.5898135359116026
540297-493091,40,acyclic,base,64,0,,
540297-493091,40,acyclic,headft,64,0,,
540297-493091,40,acyclic,nearest_active,64,0,,
540297-493091,40,canonical_not_in_training,base,49685,739,0.059167923293326534,7.169689313145449
540297-493091,40,canonical_not_in_training,headft,49685,739,0.07935336040161028,10.957449704995875
540297-493091,40,canonical_not_in_training,nearest_active,49685,739,0.028301128501686104,3.652483234998625
540297-493091,40,similarity_any_lt03,base,47589,664,0.052011782328059156,6.474407082109953
540297-493091,40,similarity_any_lt03,headft,47589,664,0.06466628534931289,9.63632681988458
540297-493091,40,similarity_any_lt03,nearest_active,47589,664,0.02101848139952867,1.9573788852890555
540297-493091,40,similarity_active_lt03,base,48965,706,0.05464340856865382,6.510926750303521
540297-493091,40,similarity_active_lt03,headft,48965,706,0.0731581850528779,10.757183326588427
540297-493091,40,similarity_active_lt03,nearest_active,48965,706,0.02292690970127804,2.5477539457709435
540297-493091,40,similarity_active_03_04,base,661,28,0.19274860533989743,13.489795918367347
540297-493091,40,similarity_active_03_04,headft,661,28,0.16955476687732782,6.744897959183674
540297-493091,40,similarity_active_03_04,nearest_active,661,28,0.06792831648388842,0.0
540297-493091,40,similarity_active_04_055,base,55,3,,
540297-493091,40,similarity_active_04_055,headft,55,3,,
540297-493091,40,similarity_active_04_055,nearest_active,55,3,,
540297-493091,40,similarity_active_ge055,base,4,2,,
540297-493091,40,similarity_active_ge055,headft,4,2,,
540297-493091,40,similarity_active_ge055,nearest_active,4,2,,
540297-493091,100,all,base,49685,739,0.059167923293326534,7.169689313145449
540297-493091,100,all,headft,49685,739,0.08120217348545652,12.174944116662083
540297-493091,100,all,nearest_active,49685,739,0.035127279020624694,4.32886901925763
540297-493091,100,murcko_seen_any,base,156,7,,
